source,target
000110000010111000010011111100000000000000000000000000000000000000,000110000010011000010011111100000000000000000000000000000000000000
000110000010111000010011111100000000000000000000000000000000000000,000110000010011000010011111100000000000000000000000000000000000000
000110000010111000010011111100000000000000000000000000000000000000,000110000010011000010011111100000000000000000000000000000000000000
000110000010111000010011111100000000000000000000000000000000000000,000110000010011000010011111100000000000000000000000000000000000000
000110000010111000010011111100000000000000000000000000000000000000,000110000010011000010011111100000000000000000000000000000000000000
000110000010111000010011111100000000000000000000000000000000000000,000110000010011000010011111100000000000000000000000000000000000000
000110000010111000010011111100000000000000000000000000000000000000,000110000010011000010011111100000000000000000000000000000000000000
000110000010111000010011111100000000000000000000000000000000000000,000110000010011000010011111100000000000000000000000000000000000000
000110000010111000010011111100000000000000000000000000000000000000,000110000010011000010011111100000000000000000000000000000000000000
000110000010111000010011111100000000000000000000000000000000000000,000110000010011000010011111100000000000000000000000000000000000000
000110000010111000010011111100000000000000000000000000000000000000,000110000010011000010011111100000000000000000000000000000000000000
000110000010111000010011111100000000000000000000000000000000000000,000110000010011000010011111100000000000000000000000000000000000000
000110000010111000010011111100000000000000000000000000000000000000,000110000010011000010011111100000000000000000000000000000000000000
000110000010111000010011111100000000000000000000000000000000000000,000110000010011000010011111100000000000000000000000000000000000000
000110000010111000010011111100000000000000000000000000000000000000,000110000010011000010011111100000000000000000000000000000000000000
000110000010111000010011111100000000000000000000000000000000000000,000110000010011000010011111100000000000000000000000000000000000000
000110000010111000010011111100000000000000000000000000000000000000,000110000010011000010011111100000000000000000000000000000000000000
000110000010111000010011111100000000000000000000000000000000000000,000110000010011000010011111100000000000000000000000000000000000000
000110000010111000010011111100000000000000000000000000000000000000,000110000010011000010011111100000000000000000000000000000000000000
000110000010111000010011111100000000000000000000000000000000000000,000110000010011000010011111100000000000000000000000000000000000000
000110000010111000010011111100000000000000000000000000000000000000,000110000010011000010011111100000000000000000000000000000000000000
000110000010111000010011111100000000000000000000000000000000000000,000110000010011000010011111100000000000000000000000000000000000000
000110000010111000010011111100000000000000000000000000000000000000,000110000010011000010011111100000000000000000000000000000000000000
000110000010111000010011111100000000000000000000000000000000000000,000110000010011000010011111100000000000000000000000000000000000000
000110000010111000010011111100000000000000000000000000000000000000,000110000010011000010011111100000000000000000000000000000000000000
